timestamp,tweet_text,username,all_hashtags,followers_count
2019-02-27 13:41:32,@MHafeez22 Jawaab mila hei aaj F16 has crashed n you people went back like cowards!! #Abhinandan ko kuch bhi hua India will do well in giving you scary reply to ever get back in India #BoycottPak #boycotthafeez #HowsTheJaish,teja_2405,"[u'Abhinandan', u'BoycottPak', u'boycotthafeez', u'HowsTheJaish']",43
2019-02-27 13:22:31,@HariMirchein @ComicsByMajid @vickykaushal09 Oooo sexy devi ...  #HowsTheJaish bloody jaishis fucked inside their home by great #IAF ..,vivek_k_thakur,"[u'HowsTheJaish', u'IAF']",130
2019-02-27 12:36:58,Those who trended #HowsTheJaish are now trending #SayNoToWar.,amz360,"[u'HowsTheJaish', u'SayNoToWar']",3929
2019-02-27 11:33:57,Just in   Both the #IAF pilots started crying when they got to know they have to use toilets for the first time.   #AeroIndia2019 #IndiaStrikeBack #IAFHaiToMumkinHai #IndiaStrikesAgain #HowsTheJaish #Balakot #Kashmir #PAF #PakistanAirForceZindabad #PakistanAirForceOurPride #Modi https://t.co/WNQ6466eC5,waleedcfc441,"[u'IAF', u'AeroIndia2019', u'IndiaStrikeBack', u'IAFHaiToMumkinHai', u'IndiaStrikesAgain', u'HowsTheJaish', u'Balakot', u'Kashmir', u'PAF', u'PakistanAirForceZindabad', u'PakistanAirForceOurPride', u'Modi']",12
2019-02-27 10:07:41,"@MawraHocane May lord have mercy on our enemies, because we won't  #IndiaStrikesBack #IndiaStrikesPakistan  #IndianAirforce #HowsTheKhaufPakistan #HowsTheJaish",neerajsagar,"[u'IndiaStrikesBack', u'IndiaStrikesPakistan', u'IndianAirforce', u'HowsTheKhaufPakistan', u'HowsTheJaish']",397
2019-02-27 10:05:55,@OfficialDGISPR #HowsTheJaish ? Blatant lying at this level?where's your integrity gone?,bluntkukri,[u'HowsTheJaish'],1
2019-02-27 10:03:04,Orpat is extremely proud of our #IndianAirForce  #HowsTheJaish #IAFStrikesJeM https://t.co/LhXQlskWhD,OrpatG,"[u'IndianAirForce', u'HowsTheJaish', u'IAFStrikesJeM']",14
2019-02-27 09:29:50,All Modified channels and paid journalists were shouting WAR-WAR-REVENGE-REVENGE Now same journalists are crying PEACE-PEACE-PEACE #BalakotAirStrikes #Humanity #HowsTheJaish #airstrikes #SayNoToWar #JaiHind  @alamgirizvi @gops333 @zoo_bear @RoflGandhi_,Indian2233,"[u'BalakotAirStrikes', u'Humanity', u'HowsTheJaish', u'airstrikes', u'SayNoToWar', u'JaiHind']",43
2019-02-27 09:21:13,"Being a responsible Indians, please do not share any information of defiance and security forces movement on social media. Even electric media also . National security is our responsibility. #HowsTheJaish @sardanarohit aajtak is not doing any live telecast...good step Rohit bhai",bsinghrana21,[u'HowsTheJaish'],15
2019-02-27 09:08:47,"@waqarmalik35 We never disown our brave officers like u guys did after the Kargil war. anyway,the veracity of the video is yet to be ascertained.And according to the reports Commander Abhi disappeared in 2004.#BalakotAirStrike #PKMBK #AirSurgicalStrikes #airstrikes #HowsTheJaish #WingCommande",Abhishikta312,"[u'BalakotAirStrike', u'PKMBK', u'AirSurgicalStrikes', u'airstrikes', u'HowsTheJaish', u'WingCommande']",11
