timestamp,tweet_text,username,all_hashtags,followers_count
2019-02-28 07:16:03,Targeted #ISIS accounts https://t.co/H22tFcRVsA 🆕 🚩 https://t.co/FBZhhvUZU3 🏃 https://t.co/TqUcxZ9n92 #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 07:15:08,#Islam; #ShamimaBegum #ISIS  #IS Early Arab coinage and the challenge to Muslim history https://t.co/OuDrVIU0GL,PeterTownsend7,"[u'Islam', u'ShamimaBegum', u'ISIS', u'IS']",104217
2019-02-28 07:08:04,Targeted #ISIS accounts https://t.co/vfjp5aswFq 🆕 https://t.co/kol0TQwHmc 🆕 https://t.co/NVinKDuFZ4 🆕 #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 07:08:02,@smittal_ips @Nimbupaani True that.. 1. Why Kashmiries are targeted? Ask yourself... 2. Why pelt stones on Army? 3. Why be terror sympathizers? 4. Why support #Caliphate ? 5. Why do you support #ISIS ? 6. Why be against India? 7. Why be so ungrateful?  Yet you say that you are been targeted @shahfaesal,ViShNu_SiNgH74,"[u'Caliphate', u'ISIS']",461
2019-02-28 07:05:05,"#Islam; #ShamimaBegum #ISIS  #IS Muhammad's ""Star Wars"" https://t.co/xRTWg5BO7Z",PeterTownsend7,"[u'Islam', u'ShamimaBegum', u'ISIS', u'IS']",104217
2019-02-28 07:02:37,[Graphic 18+] Mass grave of civilian victims of #ISIS uncovered by #SDF troops in #Baghouz (video) https://t.co/3BbvN62Agr #Syria,TheArabSource,"[u'ISIS', u'SDF', u'Baghouz', u'Syria']",50717
2019-02-28 07:01:58,"Tough against #ISIS &amp; #Begum is renouncing our values &amp; morality? More likely fear &amp; cowardice! Harder to be civilised in face of barbarism. Cheering backward attitudes is hiding behind frustration, fear of uncertainty &amp; inability to define what values &amp; morals we want to defend",cricri42,"[u'ISIS', u'Begum']",426
2019-02-28 07:01:57,"Syria: Hundreds of ISIS supporters, victims flee before final assault on Baghouz. #Syria #ISIS #Baghouz #IndusNews #LatestNews",indusdotnews,"[u'Syria', u'ISIS', u'Baghouz', u'IndusNews', u'LatestNews']",272
2019-02-28 07:01:35,#EU countries failure on integrating “imported labour” to its system is part of #ISIS and must pay for rebuilding #ME Everything are connected https://t.co/E8PlNMQi32,RhawiMetin,"[u'EU', u'ISIS', u'ME']",126
2019-02-28 07:00:35,"I guess if we run out of room we can just throw a few more souls on the fire. Saves on the gas bill. #NaturalGas burns pretty clean, but those little devils give off sparks and crackles.  Especially the really dark and twisted ones. #ISIS fighters? #Oilmen? Yuck.",thepitsofheck,"[u'NaturalGas', u'ISIS', u'Oilmen']",0
